"","var_a","var_b","var_c","new_var","charV"
"1",1,"A",0.908245672937483,0.657407328933932,"T"
"2",2,"B",34,-0.710835467267693,"T"
"3",3,"C",0.207283754367381,-1.95274833950024,"T"
"4",4,"A",0.370056306244805,0.753289992437006,"T"
"5",5,"B",0.204595213755965,-0.732246558450584,"T"
"6",6,"C",0.470881941029802,-1.00055713787722,"T"
"7",7,"A",0.874425584450364,-0.409272776922078,"T"
"8",8,"B",0.593301871558651,1.20547687648253,"T"
"9",9,"C",0.398000326938927,0.985638466313339,"T"
"10",10,"A",0.459696945268661,0.0112234240105668,"T"
"11",11,"B",0.670797637430951,-1.9459981954068,"T"
"12",12,"C",0.546158374520019,-0.830957854722994,"T"
"13",13,"D",0.77,-1.25240973999652,"T"
